<<<<<<< HEAD
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,
Data Sources:,,,,,,"DFA 296X (quarterly) prior to July 2016, then CF 296 afterward (monthly) ",County Consortia ,County Consortia ,County Consortia ,County Consortia 
55 Tuolumne,C-IV,October,2012.0,2013.0,2013.0,0.9601,0.0355,0.1422,0.1588,0.1801
56 Ventura,CalWIN,October,2012.0,2013.0,2013.0,0.9537,0.0884,0.2093,0.0684,0.1172
57 Yolo,CalWIN,October,2012.0,2013.0,2013.0,0.9055,0.1126,0.2137,0.0586,0.1048
58 Yuba,C-IV,October,2012.0,2013.0,2013.0,0.9568,0.0417,0.1363,0.2087,0.2298
00 Statewide,n/a,January,2013.0,2013.0,2013.0,0.9369,0.1353,0.2221,0.0722,0.0939
01 Alameda,CalWIN,January,2013.0,2013.0,2013.0,0.8662,0.0823,0.1839,0.0499,0.0952
02 Alpine,C-IV,January,2013.0,2013.0,2013.0,0.9286,0.1875,0.1875,0.0,0.125
03 Amador,C-IV,January,2013.0,2013.0,2013.0,0.9312,0.1708,0.2562,0.1886,0.1957
04 Butte,C-IV,January,2013.0,2013.0,2013.0,0.9582,0.1466,0.2186,0.217,0.2343
05 Calaveras,C-IV,January,2013.0,2013.0,2013.0,0.9644,0.1257,0.1932,0.1365,0.1554
06 Colusa,C-IV,January,2013.0,2013.0,2013.0,1.0,0.2053,0.2848,0.1424,0.1589
07 Contra Costa,CalWIN,January,2013.0,2013.0,2013.0,0.9068,0.1146,0.2093,0.0443,0.0814
08 Del Norte,C-IV,January,2013.0,2013.0,2013.0,0.9881,0.2485,0.3358,0.25,0.2648
09 El Dorado,C-IV,January,2013.0,2013.0,2013.0,0.9882,0.1475,0.2244,0.1563,0.1756
10 Fresno,CalWIN,January,2013.0,2013.0,2013.0,0.9715,0.1284,0.2471,0.051,0.0877
11 Glenn,C-IV,January,2013.0,2013.0,2013.0,1.0,0.2025,0.2831,0.1467,0.1591
12 Humboldt,C-IV,January,2013.0,2013.0,2013.0,0.8998,0.1374,0.2143,0.1986,0.2284
13 Imperial,C-IV,January,2013.0,2013.0,2013.0,0.9866,0.1933,0.2746,0.1561,0.1765
14 Inyo,C-IV,January,2013.0,2013.0,2013.0,0.984,0.1529,0.2038,0.1433,0.1529
15 Kern,C-IV,January,2013.0,2013.0,2013.0,0.9556,0.2293,0.31,0.1245,0.1471
16 Kings,C-IV,January,2013.0,2013.0,2013.0,0.9535,0.2024,0.2842,0.1599,0.1798
17 Lake,C-IV,January,2013.0,2013.0,2013.0,0.9518,0.1065,0.1754,0.2136,0.2443
18 Lassen,C-IV,January,2013.0,2013.0,2013.0,0.9212,0.1611,0.251,0.1674,0.1946
19 Los Angeles,LRS,January,2013.0,2013.0,2013.0,0.9514,0.1131,0.1937,0.0113,0.0161
20 Madera,C-IV,January,2013.0,2013.0,2013.0,0.9832,0.1867,0.2775,0.153,0.1804
21 Marin,C-IV,January,2013.0,2013.0,2013.0,0.9328,0.1622,0.2216,0.1347,0.1569
22 Mariposa,C-IV,January,2013.0,2013.0,2013.0,0.9381,0.1413,0.1873,0.1449,0.1696
23 Mendocino,C-IV,January,2013.0,2013.0,2013.0,0.9886,0.2159,0.322,0.162,0.1994
24 Merced,C-IV,January,2013.0,2013.0,2013.0,0.9908,0.2035,0.2958,0.1891,0.2097
25 Modoc,C-IV,January,2013.0,2013.0,2013.0,0.9455,0.225,0.3438,0.1125,0.1313
26 Mono,C-IV,January,2013.0,2013.0,2013.0,0.8909,0.1073,0.1469,0.0339,0.0847
27 Monterey,C-IV,January,2013.0,2013.0,2013.0,0.9954,0.1684,0.2237,0.1001,0.1116
28 Napa,C-IV,January,2013.0,2013.0,2013.0,0.9695,0.1108,0.1795,0.2481,0.2746
29 Nevada,C-IV,January,2013.0,2013.0,2013.0,0.9446,0.1291,0.2066,0.1166,0.1346
30 Orange,CalWIN,January,2013.0,2013.0,2013.0,0.9928,0.0871,0.177,0.0427,0.0723
31 Placer,CalWIN,January,2013.0,2013.0,2013.0,0.9668,0.086,0.1698,0.0335,0.0587
32 Plumas,C-IV,January,2013.0,2013.0,2013.0,0.9811,0.1707,0.2275,0.1168,0.1198
33 Riverside,C-IV,January,2013.0,2013.0,2013.0,0.958,0.1824,0.2579,0.1403,0.1608
34 Sacramento,CalWIN,January,2013.0,2013.0,2013.0,0.9557,0.0944,0.1815,0.0481,0.0819
35 San Benito,C-IV,January,2013.0,2013.0,2013.0,0.9775,0.1707,0.2368,0.1202,0.1394
36 San Bernardino,C-IV,January,2013.0,2013.0,2013.0,0.9268,0.2178,0.2859,0.1492,0.1651
37 San Diego,CalWIN,January,2013.0,2013.0,2013.0,0.9143,0.1158,0.2269,0.0278,0.0553
38 San Francisco,CalWIN,January,2013.0,2013.0,2013.0,0.7528,0.1028,0.2053,0.08,0.1164
39 San Joaquin,C-IV,January,2013.0,2013.0,2013.0,0.9746,0.1981,0.2596,0.1398,0.1569
40 San Luis Obispo,CalWIN,January,2013.0,2013.0,2013.0,0.8981,0.066,0.1503,0.03,0.054
41 San Mateo,CalWIN,January,2013.0,2013.0,2013.0,0.8113,0.0771,0.1636,0.0379,0.067
42 Santa Barbara,CalWIN,January,2013.0,2013.0,2013.0,0.9216,0.0984,0.1868,0.0484,0.0739
43 Santa Clara,CalWIN,January,2013.0,2013.0,2013.0,0.8704,0.0571,0.1357,0.0106,0.039
44 Santa Cruz,CalWIN,January,2013.0,2013.0,2013.0,0.9228,0.0391,0.1162,0.0305,0.059
45 Shasta,C-IV,January,2013.0,2013.0,2013.0,0.85,0.1784,0.2613,0.1764,0.201
46 Sierra,C-IV,January,2013.0,2013.0,2013.0,0.9615,0.1786,0.2679,0.1071,0.1071
47 Siskiyou,C-IV,January,2013.0,2013.0,2013.0,0.9503,0.1343,0.2009,0.1267,0.1418
48 Solano,CalWIN,January,2013.0,2013.0,2013.0,0.9508,0.0314,0.1542,0.0127,0.0632
49 Sonoma,CalWIN,January,2013.0,2013.0,2013.0,0.4026,0.0816,0.1758,0.0387,0.0762
50 Stanislaus,C-IV,January,2013.0,2013.0,2013.0,0.9669,0.1953,0.2871,0.1468,0.1684
51 Sutter,C-IV,January,2013.0,2013.0,2013.0,0.9615,0.1811,0.2465,0.1059,0.1227
52 Tehama,C-IV,January,2013.0,2013.0,2013.0,0.99,0.1819,0.2527,0.1588,0.1682
53 Trinity,C-IV,January,2013.0,2013.0,2013.0,0.9419,0.2087,0.2638,0.3543,0.3701
54 Tulare,CalWIN,January,2013.0,2013.0,2013.0,0.9831,0.1717,0.2958,0.1087,0.1558
55 Tuolumne,C-IV,January,2013.0,2013.0,2013.0,0.9713,0.1611,0.2274,0.1642,0.1821
56 Ventura,CalWIN,January,2013.0,2013.0,2013.0,0.9409,0.1037,0.2303,0.0645,0.1057
57 Yolo,CalWIN,January,2013.0,2013.0,2013.0,0.8749,0.1156,0.2195,0.0556,0.0864
58 Yuba,C-IV,January,2013.0,2013.0,2013.0,0.9625,0.1869,0.2552,0.2025,0.224
00 Statewide,n/a,April,2013.0,2013.0,2013.0,0.943,0.1301,0.2176,0.0802,0.1044
01 Alameda,CalWIN,April,2013.0,2013.0,2013.0,0.8623,0.0989,0.2026,0.05,0.095
02 Alpine,C-IV,April,2013.0,2013.0,2013.0,0.95,0.0714,0.1429,0.1071,0.1071
03 Amador,C-IV,April,2013.0,2013.0,2013.0,0.9556,0.1439,0.2064,0.197,0.2102
04 Butte,C-IV,April,2013.0,2013.0,2013.0,0.9529,0.1357,0.2106,0.2273,0.2431
05 Calaveras,C-IV,April,2013.0,2013.0,2013.0,0.9797,0.1398,0.2165,0.1744,0.197
06 Colusa,C-IV,April,2013.0,2013.0,2013.0,1.0,0.112,0.1931,0.1583,0.166
07 Contra Costa,CalWIN,April,2013.0,2013.0,2013.0,0.9367,0.1149,0.2042,0.0448,0.0813
08 Del Norte,C-IV,April,2013.0,2013.0,2013.0,0.9744,0.211,0.2649,0.1898,0.1997
09 El Dorado,C-IV,April,2013.0,2013.0,2013.0,0.9636,0.1348,0.2115,0.178,0.2001
10 Fresno,CalWIN,April,2013.0,2013.0,2013.0,0.9327,0.1572,0.2786,0.0971,0.1523
11 Glenn,C-IV,April,2013.0,2013.0,2013.0,0.9931,0.1369,0.2111,0.1137,0.123
12 Humboldt,C-IV,April,2013.0,2013.0,2013.0,0.933,0.1183,0.1834,0.1856,0.206
13 Imperial,C-IV,April,2013.0,2013.0,2013.0,0.9889,0.1919,0.2803,0.1355,0.1552
14 Inyo,C-IV,April,2013.0,2013.0,2013.0,0.9776,0.163,0.2431,0.1961,0.2265
15 Kern,C-IV,April,2013.0,2013.0,2013.0,0.9517,0.2093,0.2948,0.1251,0.1479
16 Kings,C-IV,April,2013.0,2013.0,2013.0,0.9693,0.2097,0.2941,0.1791,0.2066
17 Lake,C-IV,April,2013.0,2013.0,2013.0,0.9519,0.1113,0.1715,0.1742,0.1954
18 Lassen,C-IV,April,2013.0,2013.0,2013.0,0.9585,0.1545,0.2339,0.1288,0.1459
19 Los Angeles,LRS,April,2013.0,2013.0,2013.0,0.9613,0.0962,0.1787,0.0097,0.0155
20 Madera,C-IV,April,2013.0,2013.0,2013.0,0.9815,0.1714,0.2563,0.1739,0.1957
21 Marin,C-IV,April,2013.0,2013.0,2013.0,0.9507,0.1323,0.1985,0.1488,0.1742
22 Mariposa,C-IV,April,2013.0,2013.0,2013.0,0.9432,0.1617,0.2468,0.2553,0.2681
23 Mendocino,C-IV,April,2013.0,2013.0,2013.0,0.9889,0.1824,0.2862,0.1856,0.2255
24 Merced,C-IV,April,2013.0,2013.0,2013.0,0.9924,0.178,0.2644,0.2349,0.2588
25 Modoc,C-IV,April,2013.0,2013.0,2013.0,0.9231,0.22,0.28,0.1,0.1267
26 Mono,C-IV,April,2013.0,2013.0,2013.0,0.9576,0.0181,0.1444,0.0433,0.0469
27 Monterey,C-IV,April,2013.0,2013.0,2013.0,0.9953,0.1791,0.2501,0.1218,0.1378
28 Napa,C-IV,April,2013.0,2013.0,2013.0,0.9656,0.1151,0.1846,0.2331,0.2617
29 Nevada,C-IV,April,2013.0,2013.0,2013.0,0.9741,0.1219,0.2089,0.1584,0.1817
30 Orange,CalWIN,April,2013.0,2013.0,2013.0,0.9957,0.0902,0.1813,0.053,0.0868
31 Placer,CalWIN,April,2013.0,2013.0,2013.0,0.9741,0.0813,0.1623,0.0337,0.0622
32 Plumas,C-IV,April,2013.0,2013.0,2013.0,0.978,0.1718,0.2214,0.1145,0.1183
33 Riverside,C-IV,April,2013.0,2013.0,2013.0,0.9584,0.176,0.2552,0.1579,0.1812
34 Sacramento,CalWIN,April,2013.0,2013.0,2013.0,0.984,0.0964,0.1805,0.0475,0.082
35 San Benito,C-IV,April,2013.0,2013.0,2013.0,0.9757,0.1883,0.2661,0.1252,0.1434
36 San Bernardino,C-IV,April,2013.0,2013.0,2013.0,0.9316,0.2105,0.2845,0.1914,0.2108
37 San Diego,CalWIN,April,2013.0,2013.0,2013.0,0.8963,0.1204,0.2196,0.0334,0.0653
38 San Francisco,CalWIN,April,2013.0,2013.0,2013.0,0.8979,0.1138,0.2191,0.0859,0.1263
39 San Joaquin,C-IV,April,2013.0,2013.0,2013.0,0.9744,0.1685,0.2364,0.1414,0.1608
40 San Luis Obispo,CalWIN,April,2013.0,2013.0,2013.0,0.8899,0.0723,0.1638,0.0369,0.075
41 San Mateo,CalWIN,April,2013.0,2013.0,2013.0,0.7536,0.085,0.1723,0.0426,0.0766
42 Santa Barbara,CalWIN,April,2013.0,2013.0,2013.0,0.9405,0.0915,0.1742,0.05,0.0934
43 Santa Clara,CalWIN,April,2013.0,2013.0,2013.0,0.8879,0.0526,0.1353,0.0088,0.0366
44 Santa Cruz,CalWIN,April,2013.0,2013.0,2013.0,0.9602,0.0652,0.1415,0.0261,0.0603
45 Shasta,C-IV,April,2013.0,2013.0,2013.0,0.869,0.1637,0.2487,0.1775,0.2002
46 Sierra,C-IV,April,2013.0,2013.0,2013.0,1.0,0.0976,0.122,0.1707,0.1951
47 Siskiyou,C-IV,April,2013.0,2013.0,2013.0,0.9632,0.1311,0.2065,0.116,0.1311
48 Solano,CalWIN,April,2013.0,2013.0,2013.0,0.9621,0.0413,0.158,0.0135,0.0586
49 Sonoma,CalWIN,April,2013.0,2013.0,2013.0,0.4675,0.0881,0.188,0.0424,0.0843
50 Stanislaus,C-IV,April,2013.0,2013.0,2013.0,0.9701,0.199,0.2903,0.1423,0.1651
51 Sutter,C-IV,April,2013.0,2013.0,2013.0,0.9547,0.1633,0.2431,0.1529,0.1639
52 Tehama,C-IV,April,2013.0,2013.0,2013.0,0.9878,0.1471,0.2072,0.1648,0.1825
53 Trinity,C-IV,April,2013.0,2013.0,2013.0,0.6729,0.1634,0.232,0.2157,0.2386
54 Tulare,CalWIN,April,2013.0,2013.0,2013.0,0.9769,0.1912,0.3273,0.1259,0.1803
55 Tuolumne,C-IV,April,2013.0,2013.0,2013.0,0.9732,0.1476,0.2341,0.1765,0.1949
56 Ventura,CalWIN,April,2013.0,2013.0,2013.0,0.9531,0.1114,0.2325,0.0706,0.1242
57 Yolo,CalWIN,April,2013.0,2013.0,2013.0,0.9151,0.115,0.198,0.0639,0.1034
58 Yuba,C-IV,April,2013.0,2013.0,2013.0,0.9678,0.1618,0.2301,0.2145,0.2376
00 Statewide,n/a,July,2013.0,2013.0,2014.0,0.9188,0.1203,0.2055,0.0794,0.1006
01 Alameda,CalWIN,July,2013.0,2013.0,2014.0,0.8714,0.0811,0.1774,0.0491,0.0853
02 Alpine,C-IV,July,2013.0,2013.0,2014.0,0.7273,0.087,0.2174,0.2174,0.2174
03 Amador,C-IV,July,2013.0,2013.0,2014.0,0.9442,0.1553,0.2235,0.1894,0.2082
04 Butte,C-IV,July,2013.0,2013.0,2014.0,0.939,0.1318,0.2009,0.1774,0.1958
05 Calaveras,C-IV,July,2013.0,2013.0,2014.0,0.9864,0.1062,0.1884,0.1669,0.1909
06 Colusa,C-IV,July,2013.0,2013.0,2014.0,0.9577,0.1341,0.1993,0.1775,0.221
07 Contra Costa,CalWIN,July,2013.0,2013.0,2014.0,0.7922,0.0925,0.1782,0.0331,0.0608
08 Del Norte,C-IV,July,2013.0,2013.0,2014.0,0.9837,0.1862,0.2524,0.197,0.2227
09 El Dorado,C-IV,July,2013.0,2013.0,2014.0,0.9771,0.1232,0.2074,0.1682,0.1903
10 Fresno,CalWIN,July,2013.0,2013.0,2014.0,0.8348,0.1649,0.2943,0.0973,0.1451
11 Glenn,C-IV,July,2013.0,2013.0,2014.0,0.9921,0.1854,0.2521,0.1,0.1146
12 Humboldt,C-IV,July,2013.0,2013.0,2014.0,0.8975,0.114,0.1806,0.1778,0.2068
13 Imperial,C-IV,July,2013.0,2013.0,2014.0,0.9144,0.1634,0.2386,0.1371,0.1546
14 Inyo,C-IV,July,2013.0,2013.0,2014.0,0.9924,0.1714,0.2829,0.1571,0.1714
15 Kern,C-IV,July,2013.0,2013.0,2014.0,0.9016,0.2059,0.2929,0.1244,0.1469
16 Kings,C-IV,July,2013.0,2013.0,2014.0,0.9615,0.1988,0.2891,0.1951,0.2166
17 Lake,C-IV,July,2013.0,2013.0,2014.0,0.8716,0.1059,0.1729,0.1566,0.1786
18 Lassen,C-IV,July,2013.0,2013.0,2014.0,0.9124,0.1558,0.2354,0.1788,0.1894
19 Los Angeles,LRS,July,2013.0,2013.0,2014.0,0.9571,0.078,0.1535,0.0084,0.0125
20 Madera,C-IV,July,2013.0,2013.0,2014.0,0.9719,0.1658,0.2657,0.1833,0.2158
21 Marin,C-IV,July,2013.0,2013.0,2014.0,0.9545,0.1425,0.2129,0.138,0.1569
22 Mariposa,C-IV,July,2013.0,2013.0,2014.0,0.9872,0.1486,0.1993,0.0777,0.098
23 Mendocino,C-IV,July,2013.0,2013.0,2014.0,0.9946,0.1596,0.2574,0.1805,0.2105
24 Merced,C-IV,July,2013.0,2013.0,2014.0,0.9482,0.1702,0.2558,0.221,0.2439
25 Modoc,C-IV,July,2013.0,2013.0,2014.0,1.0,0.1075,0.1882,0.1183,0.129
26 Mono,C-IV,July,2013.0,2013.0,2014.0,0.8485,0.0484,0.1559,0.0968,0.129
27 Monterey,C-IV,July,2013.0,2013.0,2014.0,0.9919,0.2403,0.3278,0.1206,0.1442
28 Napa,C-IV,July,2013.0,2013.0,2014.0,0.8991,0.1313,0.2068,0.2299,0.2593
29 Nevada,C-IV,July,2013.0,2013.0,2014.0,0.9517,0.1264,0.1964,0.145,0.1607
30 Orange,CalWIN,July,2013.0,2013.0,2014.0,0.996,0.0832,0.17,0.0465,0.0713
31 Placer,CalWIN,July,2013.0,2013.0,2014.0,0.9742,0.0715,0.1483,0.0407,0.0684
32 Plumas,C-IV,July,2013.0,2013.0,2014.0,0.9697,0.1354,0.1902,0.1153,0.1354
33 Riverside,C-IV,July,2013.0,2013.0,2014.0,0.9434,0.1717,0.2468,0.1568,0.1736
34 Sacramento,CalWIN,July,2013.0,2013.0,2014.0,0.9842,0.086,0.1699,0.0472,0.0768
35 San Benito,C-IV,July,2013.0,2013.0,2014.0,0.9727,0.1805,0.2669,0.1927,0.2148
36 San Bernardino,C-IV,July,2013.0,2013.0,2014.0,0.8616,0.1916,0.2613,0.1864,0.2019
37 San Diego,CalWIN,July,2013.0,2013.0,2014.0,0.9112,0.1178,0.2117,0.0616,0.097
38 San Francisco,CalWIN,July,2013.0,2013.0,2014.0,0.8174,0.0965,0.1995,0.0715,0.1039
39 San Joaquin,C-IV,July,2013.0,2013.0,2014.0,0.9172,0.1881,0.2597,0.1378,0.1553
40 San Luis Obispo,CalWIN,July,2013.0,2013.0,2014.0,0.9103,0.0661,0.1627,0.0394,0.0733
41 San Mateo,CalWIN,July,2013.0,2013.0,2014.0,0.8035,0.0685,0.1537,0.0436,0.0719
42 Santa Barbara,CalWIN,July,2013.0,2013.0,2014.0,0.8654,0.0894,0.1932,0.0499,0.0888
43 Santa Clara,CalWIN,July,2013.0,2013.0,2014.0,0.842,0.0393,0.1273,0.0084,0.0364
44 Santa Cruz,CalWIN,July,2013.0,2013.0,2014.0,0.7891,0.0547,0.1506,0.0316,0.0706
45 Shasta,C-IV,July,2013.0,2013.0,2014.0,0.8488,0.1491,0.2258,0.1431,0.1642
46 Sierra,C-IV,July,2013.0,2013.0,2014.0,1.0,0.1667,0.2857,0.0952,0.119
47 Siskiyou,C-IV,July,2013.0,2013.0,2014.0,0.961,0.1142,0.1722,0.1473,0.1584
48 Solano,CalWIN,July,2013.0,2013.0,2014.0,0.9484,0.0298,0.1441,0.0105,0.0465
49 Sonoma,CalWIN,July,2013.0,2013.0,2014.0,0.4717,0.0727,0.1798,0.04,0.078
50 Stanislaus,C-IV,July,2013.0,2013.0,2014.0,0.9355,0.1916,0.2738,0.1498,0.1725
51 Sutter,C-IV,July,2013.0,2013.0,2014.0,0.8762,0.1875,0.2621,0.1285,0.1458
52 Tehama,C-IV,July,2013.0,2013.0,2014.0,0.9821,0.1401,0.2065,0.1186,0.1254
53 Trinity,C-IV,July,2013.0,2013.0,2014.0,0.6522,0.0897,0.1795,0.2179,0.2436
54 Tulare,CalWIN,July,2013.0,2013.0,2014.0,0.955,0.1747,0.305,0.111,0.1541
55 Tuolumne,C-IV,July,2013.0,2013.0,2014.0,0.9551,0.1684,0.2584,0.1789,0.2008
56 Ventura,CalWIN,July,2013.0,2013.0,2014.0,0.9382,0.0988,0.228,0.0712,0.115
57 Yolo,CalWIN,July,2013.0,2013.0,2014.0,0.9069,0.0991,0.1872,0.0478,0.0802
58 Yuba,C-IV,July,2013.0,2013.0,2014.0,0.9524,0.1503,0.2406,0.2193,0.2396
00 Statewide,n/a,October,2013.0,2014.0,2014.0,0.9243,0.1394,0.2241,0.1164,0.145
01 Alameda,CalWIN,October,2013.0,2014.0,2014.0,0.8649,0.1011,0.1854,0.0722,0.1243
02 Alpine,C-IV,October,2013.0,2014.0,2014.0,0.6471,0.1481,0.1481,0.0741,0.1481
03 Amador,C-IV,October,2013.0,2014.0,2014.0,0.986,0.18,0.2638,0.1355,0.1515
04 Butte,C-IV,October,2013.0,2014.0,2014.0,0.9301,0.1566,0.2387,0.2942,0.3176
05 Calaveras,C-IV,October,2013.0,2014.0,2014.0,0.9822,0.1087,0.2067,0.149,0.1678
06 Colusa,C-IV,October,2013.0,2014.0,2014.0,0.9494,0.1283,0.2377,0.1585,0.1887
07 Contra Costa,CalWIN,October,2013.0,2014.0,2014.0,0.7159,0.094,0.1631,0.0591,0.1002
08 Del Norte,C-IV,October,2013.0,2014.0,2014.0,0.9817,0.2274,0.3274,0.2452,0.2589
09 El Dorado,C-IV,October,2013.0,2014.0,2014.0,0.8776,0.1263,0.2172,0.1818,0.2081
10 Fresno,CalWIN,October,2013.0,2014.0,2014.0,0.9124,0.1404,0.2563,0.0964,0.1492
11 Glenn,C-IV,October,2013.0,2014.0,2014.0,1.0,0.1649,0.2784,0.1546,0.1732
12 Humboldt,C-IV,October,2013.0,2014.0,2014.0,0.88,0.1036,0.1892,0.1928,0.2174
13 Imperial,C-IV,October,2013.0,2014.0,2014.0,0.9822,0.1773,0.259,0.1962,0.2172
14 Inyo,C-IV,October,2013.0,2014.0,2014.0,0.9579,0.1233,0.2226,0.2534,0.2911
15 Kern,C-IV,October,2013.0,2014.0,2014.0,0.9035,0.2273,0.3292,0.235,0.2661
16 Kings,C-IV,October,2013.0,2014.0,2014.0,0.9441,0.2318,0.3308,0.4045,0.4378
17 Lake,C-IV,October,2013.0,2014.0,2014.0,0.903,0.1045,0.1761,0.3082,0.3388
18 Lassen,C-IV,October,2013.0,2014.0,2014.0,0.9122,0.1397,0.2227,0.2206,0.2409
19 Los Angeles,LRS,October,2013.0,2014.0,2014.0,0.9486,0.1042,0.1834,0.0082,0.011
20 Madera,C-IV,October,2013.0,2014.0,2014.0,0.9753,0.1702,0.2693,0.2019,0.2313
21 Marin,C-IV,October,2013.0,2014.0,2014.0,0.9494,0.1405,0.2021,0.1772,0.2004
22 Mariposa,C-IV,October,2013.0,2014.0,2014.0,0.8681,0.094,0.1477,0.1544,0.1644
23 Mendocino,C-IV,October,2013.0,2014.0,2014.0,0.9938,0.1799,0.2699,0.2766,0.3219
24 Merced,C-IV,October,2013.0,2014.0,2014.0,0.9478,0.2084,0.3078,0.31,0.3431
25 Modoc,C-IV,October,2013.0,2014.0,2014.0,0.9615,0.2011,0.2626,0.1732,0.1899
26 Mono,C-IV,October,2013.0,2014.0,2014.0,0.9662,0.0154,0.108,0.0617,0.0648
27 Monterey,C-IV,October,2013.0,2014.0,2014.0,0.9782,0.2342,0.3488,0.1061,0.1216
28 Napa,C-IV,October,2013.0,2014.0,2014.0,0.9063,0.1199,0.1957,0.1597,0.1792
29 Nevada,C-IV,October,2013.0,2014.0,2014.0,0.8584,0.1248,0.1865,0.1438,0.1689
30 Orange,CalWIN,October,2013.0,2014.0,2014.0,0.9954,0.0809,0.1491,0.0635,0.1013
31 Placer,CalWIN,October,2013.0,2014.0,2014.0,0.9475,0.0923,0.1611,0.0804,0.1165
32 Plumas,C-IV,October,2013.0,2014.0,2014.0,0.8154,0.1028,0.1833,0.1167,0.125
33 Riverside,C-IV,October,2013.0,2014.0,2014.0,0.9515,0.1944,0.2731,0.2072,0.2302
34 Sacramento,CalWIN,October,2013.0,2014.0,2014.0,0.9803,0.1008,0.1732,0.0711,0.1128
35 San Benito,C-IV,October,2013.0,2014.0,2014.0,0.9668,0.2073,0.3039,0.2083,0.2246
36 San Bernardino,C-IV,October,2013.0,2014.0,2014.0,0.8954,0.2109,0.287,0.2875,0.3075
37 San Diego,CalWIN,October,2013.0,2014.0,2014.0,0.9518,0.1523,0.2347,0.0941,0.1448
38 San Francisco,CalWIN,October,2013.0,2014.0,2014.0,0.6942,0.1009,0.188,0.0857,0.133
39 San Joaquin,C-IV,October,2013.0,2014.0,2014.0,0.9368,0.1908,0.2682,0.2033,0.2262
40 San Luis Obispo,CalWIN,October,2013.0,2014.0,2014.0,0.908,0.0664,0.1488,0.055,0.0909
41 San Mateo,CalWIN,October,2013.0,2014.0,2014.0,0.8298,0.0782,0.1484,0.0647,0.1023
42 Santa Barbara,CalWIN,October,2013.0,2014.0,2014.0,0.8466,0.0973,0.1929,0.059,0.1085
43 Santa Clara,CalWIN,October,2013.0,2014.0,2014.0,0.9216,0.0439,0.1214,0.0105,0.0538
44 Santa Cruz,CalWIN,October,2013.0,2014.0,2014.0,0.6856,0.0513,0.1539,0.0211,0.0629
45 Shasta,C-IV,October,2013.0,2014.0,2014.0,0.875,0.1562,0.2448,0.1912,0.2121
46 Sierra,C-IV,October,2013.0,2014.0,2014.0,1.0,0.0541,0.1622,0.1351,0.1351
47 Siskiyou,C-IV,October,2013.0,2014.0,2014.0,0.8832,0.1562,0.232,0.1858,0.2006
48 Solano,CalWIN,October,2013.0,2014.0,2014.0,0.9608,0.0315,0.1323,0.0177,0.0747
49 Sonoma,CalWIN,October,2013.0,2014.0,2014.0,0.4848,0.0971,0.18,0.0755,0.1429
50 Stanislaus,C-IV,October,2013.0,2014.0,2014.0,0.9278,0.2108,0.3208,0.2793,0.3104
51 Sutter,C-IV,October,2013.0,2014.0,2014.0,0.9181,0.1995,0.2856,0.2275,0.2377
52 Tehama,C-IV,October,2013.0,2014.0,2014.0,0.9918,0.1229,0.1939,0.0796,0.0843
53 Trinity,C-IV,October,2013.0,2014.0,2014.0,0.9189,0.1116,0.1818,0.3058,0.3264
54 Tulare,CalWIN,October,2013.0,2014.0,2014.0,0.9792,0.2155,0.336,0.1814,0.2447
55 Tuolumne,C-IV,October,2013.0,2014.0,2014.0,0.959,0.1661,0.2561,0.1776,0.2099
56 Ventura,CalWIN,October,2013.0,2014.0,2014.0,0.9325,0.1216,0.2294,0.1059,0.1643
57 Yolo,CalWIN,October,2013.0,2014.0,2014.0,0.9148,0.1065,0.1917,0.0667,0.1061
58 Yuba,C-IV,October,2013.0,2014.0,2014.0,0.9278,0.1927,0.2806,0.3656,0.3912
00 Statewide,n/a,January,2014.0,2014.0,2014.0,0.9058,0.128700958612,0.204143500861,0.102449218719,0.12872455038
01 Alameda,CalWIN,January,2014.0,2014.0,2014.0,0.8773,0.106765394595,0.194418074805,0.0595531928359,0.111068919689
02 Alpine,C-IV,January,2014.0,2014.0,2014.0,0.7895,0.0666666666667,0.2,0.0333333333333,0.0333333333333
03 Amador,C-IV,January,2014.0,2014.0,2014.0,0.971,0.142156862745,0.204248366013,0.169934640523,0.192810457516
04 Butte,C-IV,January,2014.0,2014.0,2014.0,0.8953,0.144578313253,0.217728055077,0.260757314974,0.289156626506
05 Calaveras,C-IV,January,2014.0,2014.0,2014.0,0.9519,0.130727762803,0.188679245283,0.172506738544,0.192722371968
06 Colusa,C-IV,January,2014.0,2014.0,2014.0,0.95,0.0981818181818,0.174545454545,0.214545454545,0.24
07 Contra Costa,CalWIN,January,2014.0,2014.0,2014.0,0.855,0.0942798774259,0.163432073544,0.0538304392237,0.0856996935649
08 Del Norte,C-IV,January,2014.0,2014.0,2014.0,0.9773,0.187604690117,0.246231155779,0.341708542714,0.363484087102
09 El Dorado,C-IV,January,2014.0,2014.0,2014.0,0.7883,0.10114261532,0.167583580195,0.158696572154,0.17900973339
10 Fresno,CalWIN,January,2014.0,2014.0,2014.0,0.9226,0.129171445737,0.227429133213,0.0708940957999,0.116609317822
11 Glenn,C-IV,January,2014.0,2014.0,2014.0,0.9441,0.151767151767,0.2079002079,0.12474012474,0.143451143451
12 Humboldt,C-IV,January,2014.0,2014.0,2014.0,0.748,0.0787288863441,0.131978242199,0.162324649299,0.180360721443
